Industry_Type,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage,Continent
Mining,germany,2006,224.81,931.7,10.81,66.73,39.45,0.21,1421.94,24337.71,50.18,31.52,13.34,9.3,Europe
Energy,germany,2012,185.59,196.99,1.66,110.2,7.66,11.51,1352.04,1381.48,86.71,0.49,6.92,8.57,Europe
Mining,germany,2019,37.07,359.29,27.85,150.86,41.14,15.62,1329.24,87.29,33.69,19.02,-9.99,1.17,Europe
Energy,germany,2006,76.76,244.26,83.95,52.23,49.38,19.86,836.52,1011.82,96.13,67.57,12.2,-1.43,Europe
Mining,germany,2004,57.99,666.25,56.58,92.66,38.77,12.98,853.01,13538.02,81.83,39.41,13.55,0.48,Europe
Energy,germany,2005,260.69,983.33,73.95,30.63,12.41,11.89,1399.87,480.37,51.17,8.64,9.59,2.97,Europe
Mining,germany,2017,1.05,839.74,90.41,73.32,0.63,9.13,179.2,4107.31,79,94.88,13.17,-0.71,Europe
Mining,germany,2014,196.75,456.63,74.37,134.86,39.53,0.84,417,20400.66,48.24,25.94,6.97,-0.54,Europe
Energy,germany,2017,244.47,410.21,92.68,148.9,21.51,10.06,388.73,18039.23,43.32,11.83,-0.97,1.46,Europe
Energy,germany,2004,53.51,388.55,86.44,184.09,23.89,13.87,1431.51,3254.45,26.16,78.07,14,-1.12,Europe
Mining,germany,2012,39.63,732.21,92.97,136.3,4.67,1.87,510.83,10237.72,56.45,39.2,-0.89,6.58,Europe
Mining,germany,2019,55.8,971.47,17.77,109.84,12.35,9.68,1219.12,1744.74,46.01,73.29,12.24,8.77,Europe
Mining,germany,2013,110.29,563.39,48.8,40.86,18.29,0.15,691.12,4060.62,83.03,94.32,5.95,8.05,Europe
Energy,germany,2015,185.1,164.39,75.2,53.47,15.17,15.06,805.37,13123.1,82.88,22.45,0.72,-2.5,Europe
Energy,germany,2001,170.13,154.97,25.55,40.25,26.36,10.44,71.39,3521.56,55.32,29.03,5.32,2.57,Europe
Energy,germany,2007,284.04,780.39,98.09,142.08,34.96,11.78,373.25,16059.12,67.61,54.06,14.25,0.62,Europe
Mining,germany,2015,195.1,759.79,88.06,113.83,35.98,5.23,1389.94,23315.04,64.34,56.95,0.1,4.48,Europe
Manufacturing,germany,2017,250.01,659.77,87.06,156.05,2.94,16.25,1376.99,12782.73,86.79,94.64,-9.77,0.35,Europe
Mining,germany,2011,93.52,71.49,52.74,100.7,32.01,1.81,1306.68,18448.07,92.27,15.96,-1.58,-1.87,Europe
Manufacturing,germany,2013,74.62,127.64,41.75,11.29,1.02,16.78,510.25,13504.45,64.48,95.07,0.95,4,Europe
Manufacturing,germany,2013,57.67,274.41,84.95,151.79,48.07,3.64,953.56,11796.39,46.12,2.68,8.48,1.75,Europe
Mining,germany,2004,35.27,619.51,30.24,44.44,36.71,18.9,232.34,8103.26,57.47,44.57,5.31,7.77,Europe
Construction,germany,2010,119.96,424.71,38.66,125.5,13.4,2.55,583.8,15790.19,51.62,24.61,-5.71,-4.62,Europe
Construction,germany,2022,204.15,5.04,92.87,130.22,3.82,17.91,511.1,20791.01,63.45,99.42,-3.71,-3.95,Europe
Manufacturing,germany,2004,57.51,282.71,50.07,186.2,38.22,6.56,874.62,13708.22,47.97,12.21,-7.87,9,Europe
Construction,germany,2008,132.42,81.95,14.7,80.14,6.96,10.2,313.92,13425.66,56.96,22.86,2.54,-0.62,Europe
Manufacturing,germany,2004,256.12,125.04,79.27,55.89,45.71,14.13,13.13,12885.01,44.34,96.31,-5.73,-0.41,Europe
Construction,germany,2016,120.29,436.09,84.12,28.05,18.81,0.34,866.04,164.29,70.96,52.26,4.4,2.91,Europe
Construction,germany,2012,126.24,683.82,82.48,11.35,18.86,6.84,867.01,11945.02,31.5,63.57,10.23,9.89,Europe
Construction,germany,2013,64.26,89.38,72.53,176.54,42.52,4.3,1417.37,9212.88,69.95,21.13,5.37,-0.36,Europe
Manufacturing,germany,2000,3.69,39.82,38.18,57.65,0.66,12.99,871.38,9535.19,96.11,99.54,-4.6,1.85,Europe
Energy,germany,2000,65.4,57.48,62.07,39.33,9.82,16.34,1000.74,24156.91,43.38,70.75,-9.71,9.07,Europe
Construction,germany,2007,134.56,363.61,78,144.18,16.44,15.24,656.18,7125.53,38.43,90.14,-6.23,3.71,Europe
Construction,germany,2007,99.18,534,73.19,18.09,13.39,12.84,1136.95,10998.06,21.11,49.65,5.73,7.17,Europe
Manufacturing,germany,2018,23.89,825.61,67.44,33.67,44.62,14.82,98.69,24477.61,85.82,92.28,-0.78,5.53,Europe
Mining,germany,2012,280.7,556,76.91,103.03,33.59,17.9,682.39,13558.9,80.87,42.36,0.98,-2.31,Europe
Manufacturing,germany,2020,206.09,739.67,21.83,7.31,15.46,14.36,322.14,22090.72,96.79,78.35,2.62,0.58,Europe
Manufacturing,germany,2004,71.96,1.13,40.85,5.47,24.97,17.93,1254.83,2297.59,50.4,12.77,14.77,7.77,Europe
Energy,germany,2005,275.1,895.47,35.9,12.64,32.1,14.02,1193.54,9242.76,25.47,98.61,1.33,4.22,Europe
Manufacturing,germany,2006,195.51,718.2,78.41,144.27,29.89,17.45,973.02,17391.05,92.66,1.56,-3.15,2.15,Europe
